"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;1;11;56
1;2;0;20;2
1;3;0;8;2
1;4;2;51;1
1;5;0;0;16
1;6;4;1;21
1;7;1;43;1
1;8;0;0;0
1;9;0;4;20
1;10;0;0;6
1;11;0;29;0
1;12;0;2;21
1;13;0;19;18
1;14;4;25;31
1;15;6;8;44
1;16;0;7;28
1;17;3;16;49
1;18;7;10;63
1;19;0;0;9
1;20;5;32;8
1;21;10;62;36
1;22;4;6;0
1;23;0;0;0
1;24;0;2;33
1;25;0;5;45
1;26;0;3;3
1;27;9;77;22
1;28;2;51;6
1;29;5;39;12
1;30;2;63;17
1;31;0;0;5
1;32;2;4;11
1;33;2;32;2
1;34;0;39;12
1;35;5;43;15
1;36;3;27;37
1;37;0;51;9
1;38;2;10;7
1;39;3;29;0
1;40;0;40;7
1;41;0;50;0
1;42;0;6;8
1;43;0;9;4
1;44;0;3;12
1;45;0;42;7
1;46;0;52;4
1;47;0;15;8
1;48;0;6;4
1;49;0;3;4
1;50;0;9;7
2;1;0;30;3
2;2;1;0;5
2;3;0;2;12
2;4;1;55;0
2;5;0;0;0
2;6;5;6;8
2;7;4;14;21
2;8;0;6;0
2;9;1;18;1
2;10;0;0;9
2;11;0;27;2
2;12;0;2;4
2;13;1;7;35
2;14;0;2;1
2;15;1;95;2
2;16;8;12;31
2;17;5;36;10
2;18;13;16;20
2;19;1;0;66
2;20;4;42;15
2;21;1;45;21
2;22;3;2;8
2;23;7;14;75
2;24;1;18;20
2;25;0;24;2
2;26;9;44;29
2;27;0;7;31
2;28;0;84;2
2;29;5;15;54
2;30;0;18;3
2;31;2;6;16
2;32;1;4;15
2;33;0;2;2
2;34;5;20;81
2;35;2;9;7
2;36;0;7;0
2;37;1;1;19
2;38;4;1;25
2;39;1;3;13
2;40;0;4;12
2;41;1;3;0
2;42;2;0;40
2;43;0;8;38
2;44;1;15;5
2;45;0;35;1
2;46;0;1;21
2;47;0;25;10
2;48;0;4;20
2;49;0;4;0
2;50;2;24;4
3;1;0;2;26
3;2;0;9;0
3;3;5;12;33
3;4;3;6;1
3;5;0;2;0
3;6;0;0;4
3;7;0;3;0
3;8;3;12;31
3;9;0;14;0
3;10;2;7;48
3;11;1;7;45
3;12;1;76;17
3;13;0;2;3
3;14;4;33;10
3;15;0;2;3
3;16;0;5;0
3;17;2;85;9
3;18;3;12;25
3;19;0;0;0
3;20;3;5;43
3;21;5;15;43
3;22;0;79;0
3;23;3;32;6
3;24;4;29;7
3;25;1;27;7
3;26;0;60;0
3;27;0;42;9
3;28;0;8;66
3;29;0;5;8
3;30;4;6;17
3;31;2;4;98
3;32;5;52;7
3;33;0;35;3
3;34;3;16;25
3;35;4;20;87
3;36;0;25;0
3;37;0;22;3
3;38;0;2;103
3;39;1;50;5
3;40;0;17;10
3;41;2;3;46
3;42;2;18;2
3;43;7;7;90
3;44;0;3;2
3;45;0;5;42
3;46;2;8;25
3;47;3;21;55
3;48;0;2;50
3;49;0;2;23
3;50;8;30;68
4;1;2;7;4
4;2;1;29;1
4;3;0;2;9
4;4;0;3;14
4;5;0;2;4
4;6;1;1;23
4;7;0;5;1
4;8;0;0;2
4;9;1;24;0
4;10;1;2;19
4;11;8;11;24
4;12;0;0;4
4;13;1;9;4
4;14;4;71;26
4;15;4;14;40
4;16;10;77;44
4;17;4;26;9
4;18;4;8;63
4;19;1;6;37
4;20;0;0;12
4;21;1;12;96
4;22;8;29;24
4;23;0;7;1
4;24;0;18;7
4;25;1;16;1
4;26;1;39;1
4;27;4;4;7
4;28;6;9;71
4;29;2;5;70
4;30;2;0;20
4;31;2;0;19
4;32;3;2;73
4;33;5;4;27
4;34;3;4;29
4;35;3;7;69
4;36;7;34;8
4;37;2;0;34
4;38;15;14;74
4;39;2;10;2
4;40;15;22;5
4;41;3;0;32
4;42;7;1;0
4;43;1;6;1
4;44;7;26;0
4;45;9;3;3
4;46;8;1;8
4;47;8;4;0
4;48;2;0;1
4;49;3;2;0
4;50;2;0;5
5;1;2;9;1
5;2;3;30;9
5;3;4;18;4
5;4;0;1;26
5;5;0;0;1
5;6;1;3;42
5;7;0;0;34
5;8;1;0;24
5;9;0;13;2
5;10;3;20;13
5;11;2;8;61
5;12;4;11;45
5;13;0;0;1
5;14;0;6;0
5;15;0;6;0
5;16;7;14;18
5;17;1;29;5
5;18;1;4;55
5;19;3;77;10
5;20;0;2;3
5;21;3;88;25
5;22;3;0;18
5;23;5;11;19
5;24;2;2;19
5;25;3;39;8
5;26;0;46;0
5;27;0;1;13
5;28;3;76;17
5;29;3;8;10
5;30;0;32;1
5;31;1;5;13
5;32;0;32;2
5;33;1;30;2
5;34;0;0;10
5;35;1;26;2
5;36;0;1;5
5;37;2;17;4
5;38;0;27;3
5;39;0;4;1
5;40;0;1;4
5;41;0;11;14
5;42;1;10;5
5;43;0;0;3
5;44;1;6;2
5;45;0;0;3
5;46;0;0;3
5;47;1;14;2
5;48;0;0;3
5;49;1;2;2
