"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
1,1,1,0.04284341,0.03527347,0.078,0.84193492188463
1,1,2,0.03522202,0.02936076,0.065,0.701612434903859
1,1,3,0.03706499,0.02202683,0.059,0.636848210143502
1,1,4,0.04254279,0.02998146,0.073,0.787964734584333
1,1,5,0.02767532,0.04024699,0.068,0.733994547284037
1,1,6,0.01391006,0.04949557,0.063,0.68002435998374
1,1,7,0.04287807,0.02810949,0.071,0.766376659664215
1,1,8,0.04215241,0.02439276,0.067,0.723200509823977
1,1,9,0.03872038,0.03253609,0.071,0.766376659664215
1,1,10,0.04688353,0.00704204,0.054,0.582878022843206
1,1,11,0.04002321,0.01654126,0.057,0.615260135223384
1,1,12,0.03395943,0.03591765,0.07,0.755582622204156
1,1,13,0.02863465,0.03236904,0.061,0.658436285063621
1,1,14,0.03387135,0.03832018,0.072,0.777170697124274
1,1,15,0.02048398,0.04042419,0.061,0.658436285063621
1,1,16,0.02181699,0.0351795,0.057,0.615260135223384
1,1,17,0.03319758,0.04354952,0.077,0.831140884424571
1,1,18,0.04054435,0.01180784,0.052,0.561289947923087
1,1,19,0.04607625,0.04490748,0.091,0.982257408865402
1,1,20,0.03975693,0.02091919,0.061,0.658436285063621
1,1,21,0.02807255,0.0215832,0.05,0.539701873002968
1,1,22,0.02626891,0.04448556,0.071,0.766376659664215
1,1,23,0.03804195,0.02551403,0.064,0.690818397443799
1,1,24,0.03857533,0.03886652,0.077,0.831140884424571
1,1,25,0.0201188,0.04528151,0.065,0.701612434903859
1,1,26,0.02926982,0.04480815,0.074,0.798758772044393
1,1,27,0.02848793,0.03623278,0.065,0.701612434903859
1,1,28,0.04414791,0.02802419,0.072,0.777170697124274
1,1,29,0.02775427,0.03766271,0.065,0.701612434903859
1,1,30,0.02079125,0.04603979,0.067,0.723200509823977
1,1,31,0.03564135,0.03341743,0.069,0.744788584744096
1,1,32,0.03936565,0.03473901,0.074,0.798758772044393
1,1,33,0.03787582,0.04218179,0.08,0.863522996804749
1,1,34,0.02722684,0.04537653,0.073,0.787964734584333
1,1,35,0.03341107,0.02911224,0.063,0.68002435998374
1,1,36,0.02898385,0.04625608,0.075,0.809552809504452
1,1,37,0.04090864,0.02422582,0.065,0.701612434903859
1,1,38,0.03604189,0.018143,0.054,0.582878022843206
1,1,39,0.04185482,0.04416334,0.086,0.928287221565105
1,1,40,0.03929888,0.03311835,0.072,0.777170697124274
1,1,41,0.03688261,0.0457503,0.083,0.895905109184927
1,1,42,0.02724215,0.02214993,0.049,0.528907835542909
1,1,43,0.04451047,0.04343908,0.088,0.949875296485224
1,1,44,0.04379543,0.03863488,0.082,0.885111071724868
1,1,45,0.04141989,0.02940288,0.071,0.766376659664215
1,1,46,0.04126778,0.0494354,0.091,0.982257408865402
